t,E,current1_mA,coll_current,potential2,current1,current1_muA,cur1muA_filt,coll_cur_filt,coll_cur_norm,coll_cur_norm_filt,cur_H2O2,cur_H2O2_min,cur_H2O2_max,yield,yield_min,yield_max,j,current1_mA_geo
415.2259999999986,-0.057303328124977,-0.0315775781250122,0.2126274218748471,,-3.1577578125012224e-05,-31.577578125012227,-31.577578125012227,0.2133939531249044,0.2133939531249044,0.2133939531249044,-3.048485044641491,-3.9517398726834143,-2.481325036336097,17.608037215811372,22.244952030543992,14.570786525809345,-82.05269631781553,-0.0820526963178155
415.2759999999985,-0.0571173384615617,-0.0309213384615618,0.2224720769227067,,-3.0921338461561835e-05,-30.92133846156184,-30.92133846156184,0.2224720769227067,0.2224720769227067,0.2224720769227067,-3.178172527467239,-4.119853276346421,-2.586884615380311,18.64057539411496,23.514344530066207,15.440297203705864,-80.34749164367527,-0.0803474916436752
415.32599999999854,-0.0561957076923423,-0.0302835230769319,0.2337817076920567,,-3.028352307693196e-05,-30.28352307693196,-30.28352307693196,0.2337817076920567,0.2337817076920567,0.2337817076920567,-3.339738681315095,-4.329290883186235,-2.718391949907636,19.865643644736103,25.01553839670221,16.474146713588215,-78.69016150091765,-0.0786901615009176
415.37599999999856,-0.0550068153846459,-0.0299799692307764,0.2423239538460007,,-2.9979969230776498e-05,-29.9799692307765,-29.9799692307765,0.2423107076921737,0.2423107076921737,0.2423107076921737,-3.4615815384596247,-4.487235327632846,-2.817566368513648,20.70227880486952,26.037709672849264,17.181573658080758,-77.90139260115932,-0.0779013926011593
415.42599999999857,-0.0539475846154149,-0.0297284307692378,0.2476216461536944,,-2.972843076923797e-05,-29.72843076923797,-29.72843076923797,0.2469460923075596,0.2469460923075596,0.2469460923075596,-3.5278013186794226,-4.5730757834733256,-2.8714661896227858,21.215881037594382,26.663993760424816,17.61641267299964,-77.2477829761538,-0.0772477829761538
415.4759999999986,-0.0531666875000192,-0.0293480625000122,0.2486206875000192,,-2.9348062500012328e-05,-29.348062500012325,-29.348062500012325,0.2487283124999807,0.2487283124999807,0.2487283124999807,-3.553261607142581,-4.606079861110754,-2.8921896802323337,21.59950520878805,27.131180709100388,17.941482988799535,-76.25941578852,-0.07625941578852
415.5259999999985,-0.051682892307767,-0.0288504461538634,0.2529056307689159,,-2.885044615386348e-05,-28.85044615386348,-28.85044615386348,0.2534752153843202,0.2534752153843202,0.2534752153843202,-3.621074505490288,-4.693985470080004,-2.947386225399072,22.303079325896608,27.986674645156377,18.538283932342857,-74.9663855639826,-0.0749663855639826
415.57599999999854,-0.0496130624999802,-0.0283113750000078,0.262017,,-2.8311375000007897e-05,-28.311375000007896,-28.311375000007896,0.262017,0.262017,0.262017,-3.7431,-4.852166666666666,-3.0467093023255813,23.35461741300756,29.26205358544392,19.431731051879748,-73.56563717517659,-0.0735656371751765
415.62599999999856,-0.0502849374999807,-0.0280426250000076,0.262017,,-2.804262500000769e-05,-28.04262500000769,-28.04262500000769,0.262017,0.262017,0.262017,-3.7431,-4.852166666666666,-3.0467093023255813,23.552081948730724,29.50112416478616,19.599707556922016,-72.86730426160958,-0.0728673042616095
415.67599999999857,-0.0494680615384914,-0.0274810615384787,0.2734067076919333,,-2.748106153847876e-05,-27.48106153847876,-27.48106153847876,0.2716979538458356,0.2716979538458356,0.2716979538458356,-3.881399340654795,-5.031443589737697,-3.159278533091112,24.751879998276628,30.95082073740965,20.621693660786093,-71.40811077977897,-0.0714081107797789
415.7259999999986,-0.0477214375000645,-0.027092250000006,0.2781039375000569,,-2.7092250000006083e-05,-27.09225000000608,-27.09225000000608,0.277781062499943,0.277781062499943,0.277781062499943,-3.968300892856329,-5.1440937499989445,-3.2300123546505004,25.55203162071557,31.914870928860488,21.304560437288533,-70.39780419563053,-0.0703978041956305
415.7759999999985,-0.0462604461538267,-0.0267851538461697,0.280915399999553,,-2.678515384616976e-05,-26.785153846169763,-26.785153846169763,0.2822004923073813,0.2822004923073813,0.2822004923073813,-4.031435604391162,-5.225935042729284,-3.281401073341644,26.16406082742412,32.65077961494498,21.8275827219048,-69.59983079338467,-0.0695998307933846
415.82599999999854,-0.0469227538461345,-0.0262428461538619,0.296145399999557,,-2.6242846153861927e-05,-26.24284615386193,-26.24284615386193,0.2927951076919995,0.2927951076919995,0.2927951076919995,-4.182787252742851,-5.422131623925917,-3.4045942754883667,27.495153161444808,34.246868334955224,22.96720543954881,-68.19067242754711,-0.0681906724275471
415.87599999999856,-0.044340507692384,-0.0258550769230879,0.293854507692384,,-2.585507692308801e-05,-25.85507692308801,-25.85507692308801,0.295602492307616,0.295602492307616,0.295602492307616,-4.222892747251657,-5.474120227918814,-3.4372382826466974,28.07963964014442,34.945805993901075,23.46853267490288,-67.18307422580652,-0.0671830742258065
415.92599999999857,-0.0439433692307503,-0.0254348923077047,0.3038137692303153,,-2.5434892307704787e-05,-25.434892307704786,-25.434892307704786,0.3050054461534868,0.3050054461534868,0.3050054461534868,-4.357220659335526,-5.648249002842348,-3.546574955273102,29.25083336086982,36.342845444168695,24.474778471990216,-66.09124633112232,-0.0660912463311223
415.9759999999986,-0.0439962656250267,-0.0250874062500057,0.3134113906250191,,-2.508740625000573e-05,-25.08740625000573,-25.08740625000573,0.3130616093749808,0.3130616093749808,0.3130616093749808,-4.472308705356869,-5.797437210647793,-3.640251271802103,30.25948465410029,37.54228003799712,25.34318204704789,-65.18832186192526,-0.0651883218619252
416.0259999999985,-0.0430682968750238,-0.0248696718750107,0.3136802968747412,,-2.4869671875010748e-05,-24.86967187501075,-24.86967187501075,0.3144740312497611,0.3144740312497611,0.3144740312497611,-4.4924861607108735,-5.823593171291872,-3.656674781973967,30.60051754537505,37.94704253527042,25.637175527197243,-64.62255039969709,-0.0646225503996971
416.07599999999854,-0.0422612656250232,-0.0245063906250104,0.322423265624748,,-2.4506390625010462e-05,-24.506390625010468,-24.506390625010468,0.3225443437497674,0.3225443437497674,0.3225443437497674,-4.607776339282391,-5.97304340277347,-3.7505156249972953,31.65315596996891,39.19392595891814,26.54583337477906,-63.67858294385795,-0.0636785829438579
416.12599999999856,-0.0414542343750232,-0.0239996093750154,0.3372323124995358,,-2.399960937501548e-05,-23.99960937501548,-23.99960937501548,0.3372323124995358,0.3372323124995358,0.3372323124995358,-4.817604464279082,-6.245042824065477,-3.921305959296928,33.43560200611688,41.296840069169285,28.08866337184856,-62.36173819278869,-0.0623617381927886
416.17599999999857,-0.0406472031250233,-0.0236431562500058,0.344657,,-2.3643156250005817e-05,-23.643156250005816,-23.643156250005816,0.344657,0.344657,0.344657,-4.923671428571428,-6.382537037037036,-4.007639534883721,34.4712509486223,42.513836240319726,28.987516786578663,-61.43551326501986,-0.0614355132650198
416.2259999999986,-0.0396652812500425,-0.0233995468750104,0.346755281249768,,-2.339954687501044e-05,-23.39954687501044,-23.39954687501044,0.346755281249768,0.346755281249768,0.346755281249768,-4.953646874996686,-6.421394097217926,-4.03203815406707,34.94242601855349,43.066341221077096,29.397048327999315,-60.80250695948448,-0.0608025069594844
416.2759999999985,-0.038185593750043,-0.0230362656250105,0.3548255937497652,,-2.303626562501057e-05,-23.03626562501057,-23.03626562501057,0.3548255937497652,0.3548255937497652,0.3548255937497652,-5.068937053568074,-6.570844328699355,-4.125878997090292,36.07116526814119,44.3869350231936,30.379626163489405,-59.85853950364642,-0.0598585395036464
416.32599999999854,-0.0360791538462149,-0.0227048461538556,0.3608270461536744,,-2.270484615385569e-05,-22.704846153855687,-22.704846153855687,0.3608270461536744,0.3608270461536744,0.3608270461536744,-5.154672087909634,-6.681982336179154,-4.195663327368306,37.00474676681277,45.47603589441463,31.193932072526685,-58.99736322493292,-0.0589973632249329
416.37599999999856,-0.0348606615384842,-0.0223829692307783,0.3676870153844073,,-2.2382969230778305e-05,-22.382969230778304,-22.382969230778304,0.3676870153844073,0.3676870153844073,0.3676870153844073,-5.252671648348676,-6.80901880341495,-4.275430411446597,38.01374950067457,46.64991500708611,32.07567197450695,-58.160982761668016,-0.058160982761668
416.42599999999857,-0.0339152153846491,-0.0220550461538559,0.3754742153843717,,-2.2055046153855905e-05,-22.055046153855905,-22.055046153855905,0.3754742153843717,0.3754742153843717,0.3754742153843717,-5.363917362633882,-6.953226210821699,-4.365979248655485,39.12560268303372,47.93960924945264,33.0492793685478,-57.30889168173163,-0.0573088916817316
416.4759999999986,-0.0328727499999811,-0.0216928125000158,0.3844699999996225,,-2.169281250001585e-05,-21.69281250001585,-21.69281250001585,0.3843624374996602,0.3843624374996602,0.3843624374996602,-5.49089196428086,-7.117822916660375,-4.4693306686007,40.39840832946547,49.41107902493829,34.1663956182458,-56.36764635009272,-0.0563676463500927
416.5259999999985,-0.0335446249999803,-0.0211279687500165,0.3979199999996057,,-2.112796875001656e-05,-21.12796875001656,-21.12796875001656,0.3964679062496452,0.3964679062496452,0.3964679062496452,-5.663827232137788,-7.341998263882317,-4.610091933135409,42.2803102555005,51.57714626292328,35.82314914777675,-54.89992920908129,-0.0548999292090812
416.57599999999854,-0.031419625000083,-0.0208000000000079,0.3995343750000395,,-2.0800000000007905e-05,-20.80000000000791,-20.80000000000791,0.3999646249999604,0.3999646249999604,0.3999646249999604,-5.713780357142291,-7.406752314814081,-4.650751453487911,43.10045780100465,52.51758325202157,36.54706590479945,-54.04771945000298,-0.0540477194500029
