t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,j,current1_mA_geo
5226.6,3.9951188274725196e-09,1.944331784530388e-08,-0.2035938518518454,-0.0907351851851802,,-9.073518518518022e-05,-90.73518518518024,4.565089998481993e-10,1.809927469359782e-12,4.5469907237883934e-10,3.5522867262819833e-09,3.613019798894429e-09,3.820990285780899e-10,-7.555690115794188e-11,4.5765592973603164e-10,3.554998077900609e-09,4.4012074957190974e-10,-235.77066505436653,-0.2357706650543665
5226.700000000002,3.9841276011049715e-09,1.945138414364648e-08,-0.2015664999999876,-0.0890321999999887,,-8.903219999998878e-05,-89.03219999998879,4.4551777348065036e-10,1.808794390548803e-12,4.4370897909010165e-10,3.552291338081964e-09,3.613015092873227e-09,3.7111250823174364e-10,-7.55541548160393e-11,4.466666630477829e-10,3.555200782320461e-09,4.2892681878450936e-10,-231.3455465199096,-0.2313455465199096
5226.8,3.9835154464088406e-09,1.9454537088397784e-08,-0.1990138378378241,-0.087247837837829,,-8.724783783782904e-05,-87.24783783782905,4.4490561878451935e-10,1.8076625257613117e-12,4.4309795625875816e-10,3.552295914466345e-09,3.613010387173196e-09,3.705050592356426e-10,-7.555140899123908e-11,4.460564682268816e-10,3.555200782320461e-09,4.2831466408837845e-10,-226.70897413829547,-0.2267089741382954
5226.9000000000015,3.9756484745856e-09,1.9451150348066287e-08,-0.1965095352112508,-0.0854375774647807,,-8.543757746478076e-05,-85.43757746478077,4.370386469612792e-10,1.806531864635964e-12,4.352321150966432e-10,3.552300455350418e-09,3.6130056817945244e-09,3.6264279279107336e-10,-7.554866368638019e-11,4.3819145647745354e-10,3.555200782320461e-09,4.2044769226513803e-10,-222.00510660108716,-0.2220051066010871
5227.0,3.961057866850912e-09,1.947922317127064e-08,-0.19491225,-0.0838075,,-8.38075e-05,-83.8075,4.2244803922659216e-10,1.805402396811464e-12,4.2064263682978076e-10,3.55230496064948e-09,3.6130009767374033e-09,3.4805689011350917e-10,-7.554591890430155e-11,4.236028090178108e-10,3.555200782320461e-09,4.0585708453045116e-10,-217.76943499059627,-0.2177694349905962
5227.1,3.9529524546961405e-09,1.9526659635359322e-08,-0.1935751333333322,-0.0823150666666648,,-8.23150666666648e-05,-82.3150666666648,4.143426270718195e-10,1.804274111926557e-12,4.1253835295989294e-10,3.552309430278827e-09,3.612996272002016e-09,3.3995618269412366e-10,-7.554317464784208e-11,4.154993573419656e-10,3.555200782320461e-09,3.977516723756784e-10,-213.89142450512017,-0.2138914245051201
5227.200000000002,3.947508808287268e-09,1.9474338801104503e-08,-0.1920373999999782,-0.0807767999999888,,-8.077679999998882e-05,-80.77679999998881,4.0889898066294815e-10,1.803146999620032e-12,4.0709583366332806e-10,3.552313864153757e-09,3.6129915675885515e-09,3.3451724069871725e-10,-7.554043091984066e-11,4.1005767161855784e-10,3.555200782320461e-09,3.9230802596680715e-10,-209.89431848397768,-0.2098943184839777
5227.3,3.9383320767956096e-09,1.9398465872928328e-08,-0.1918157105263214,-0.0792129605263114,,-7.921296052631143e-05,-79.21296052631143,3.9972224917128935e-10,1.802021049530716e-12,3.9792022812175857e-10,3.552318262189565e-09,3.6129868634971964e-09,3.2534521329841147e-10,-7.553768772313615e-11,4.0088290102154765e-10,3.555200782320461e-09,3.8313129447514814e-10,-205.8307628523372,-0.2058307628523371
5227.4000000000015,3.928513247513833e-09,1.9429772950276363e-08,-0.1900953150684424,-0.0777780958904008,,-7.777809589040079e-05,-77.7780958904008,3.8990341988951276e-10,1.8008962512974794e-12,3.881025236382152e-10,3.5523226243015514e-09,3.612982159728144e-09,3.155310877856893e-10,-7.553494506056741e-11,3.910660328462568e-10,3.555200782320461e-09,3.7331246519337156e-10,-202.1023416364526,-0.2021023416364526
5227.5,3.916414904972434e-09,1.94543269281768e-08,-0.1859241666666659,-0.076506902777779,,-7.650690277777906e-05,-76.50690277777905,3.7780507734811393e-10,1.799772594559234e-12,3.7600530475355456e-10,3.5523269504050113e-09,3.612977456281575e-09,3.0343744869085925e-10,-7.553220293497322e-11,3.7896965162583247e-10,3.555200782320461e-09,3.612141226519729e-10,-198.79921237117708,-0.198799212371177
5227.6,3.904927433701646e-09,1.944944295027624e-08,-0.1868610253164601,-0.0750743670886013,,-7.507436708860136e-05,-75.07436708860136,3.663176060773258e-10,1.798650068954928e-12,3.6451895600837085e-10,3.5523312404152443e-09,3.612972753157681e-09,2.9195468054396485e-10,-7.552946134919245e-11,3.6748414189315735e-10,3.555200782320461e-09,3.4972665138118484e-10,-195.0768428023904,-0.1950768428023904
5227.700000000002,3.895018593922582e-09,1.9453918806629903e-08,-0.183215585365829,-0.0736732926829198,,-7.367329268291989e-05,-73.67329268291985,3.5640876629826167e-10,1.7975286641235497e-12,3.5461123763413815e-10,3.552335494247549e-09,3.6129680503566484e-09,2.820505435659333e-10,-7.552672030606382e-11,3.57577263871997e-10,3.555200782320461e-09,3.3981781160212077e-10,-191.43622374436995,-0.1914362237443699
5227.8,3.889246023204418e-09,1.947373096132597e-08,-0.1822811184210448,-0.0721482105263138,,-7.214821052631382e-05,-72.14821052631383,3.5063619558009773e-10,1.7964083697041216e-12,3.4883978721039356e-10,3.552339711817226e-09,3.612963347878667e-09,2.76282675325751e-10,-7.552397980842599e-11,3.51806655134177e-10,3.555200782320461e-09,3.3404524088395663e-10,-187.4733769877153,-0.1874733769877153
5227.9000000000015,3.8881565204419855e-09,1.9487606719780275e-08,-0.1782844189189054,-0.0709952432432376,,-7.099524324323767e-05,-70.99524324323768,3.4954669281766605e-10,1.7952891753357029e-12,3.477514036423304e-10,3.552343893039576e-09,3.612958645723921e-09,2.7519787471806354e-10,-7.552123985911768e-11,3.5071911457718124e-10,3.555200782320461e-09,3.3295573812152505e-10,-184.47745139873896,-0.1844774513987389
5228.0,3.883055855801122e-09,1.9496985840659363e-08,-0.1790707307692293,-0.0698371282051292,,-6.983712820512927e-05,-69.83712820512926,3.44446028176802e-10,1.7941710706573893e-12,3.426518571061445e-10,3.5523480378299e-09,3.612953943892605e-09,2.701019119085176e-10,-7.551850046097755e-11,3.45620412369495e-10,3.555200782320461e-09,3.278550734806609e-10,-181.46814963573468,-0.1814681496357346
5228.1,3.875879612707157e-09,1.952807925414377e-08,-0.1767419315068479,-0.0684916027397238,,-6.849160273972379e-05,-68.4916027397238,3.372697850828365e-10,1.7930540453083077e-12,3.354767310375281e-10,3.5523521461035003e-09,3.6129492423849e-09,2.629303703222566e-10,-7.551576161684421e-11,3.3844613193910076e-10,3.555200782320461e-09,3.206788303866955e-10,-177.97187161328077,-0.1779718716132807
5228.200000000002,3.8731739878452925e-09,1.9566449419889663e-08,-0.1736611818181435,-0.0671435714285633,,-6.71435714285633e-05,-67.1435714285633,3.3456416022097314e-10,1.7919380889276233e-12,3.3277222213204536e-10,3.5523562177756837e-09,3.612944541200997e-09,2.6022944664429604e-10,-7.551302332955624e-11,3.3574246997385216e-10,3.555200782320461e-09,3.1797320552483203e-10,-174.46908228080989,-0.1744690822808098
5228.3,3.870836257458599e-09,1.9516579524861845e-08,-0.173354000000012,-0.0661273999999945,,-6.612739999999452e-05,-66.12739999999452,3.3222642983427997e-10,1.7908231911545325e-12,3.3043560664312544e-10,3.552360252761752e-09,3.6129398403410845e-09,2.578964171175157e-10,-7.551028560195223e-11,3.33406702719468e-10,3.555200782320461e-09,3.1563547513813887e-10,-171.82861361329194,-0.1718286136132919
5228.4000000000015,3.8579710640883594e-09,1.9467636850828703e-08,-0.1716303380281343,-0.0646841267605588,,-6.46841267605588e-05,-64.6841267605588,3.193612364640384e-10,1.7897093416282669e-12,3.175715271224101e-10,3.552364250977008e-09,3.612935139805349e-09,2.4503592428300947e-10,-7.550754843687084e-11,3.2054347271988035e-10,3.555200782320461e-09,3.027702817678973e-10,-168.07834307797032,-0.1680783430779703
5228.5,3.845746311602211e-09,1.946365895027624e-08,-0.1680307916666661,-0.0635910416666678,,-6.359104166666787e-05,-63.59104166666789,3.0713648397789075e-10,1.7885965299880892e-12,3.053478874479026e-10,3.552368212336759e-09,3.612930439593979e-09,2.3281587200823158e-10,-7.550481183715056e-11,3.083206838453822e-10,3.555200782320461e-09,2.9054552928174965e-10,-165.23801824674084,-0.1652380182467408
5228.6,3.835677803314859e-09,1.947091478453064e-08,-0.1671057368421048,-0.0624954473684187,,-6.249544736841871e-05,-62.49544736841872,2.9706797569053846e-10,1.787484745873295e-12,2.9528049094466523e-10,3.552372136756306e-09,3.612925739707164e-09,2.2275206360769443e-10,-7.550207580563001e-11,2.9825413941332444e-10,3.555200782320461e-09,2.8047702099439735e-10,-162.39117337833835,-0.1623911733783383
5228.700000000002,3.828665911602184e-09,1.9502152353591442e-08,-0.1655198815789168,-0.0613911710526264,,-6.139117105262646e-05,-61.39117105262645,2.9005608397786317e-10,1.7863739789232089e-12,2.8826970999894005e-10,3.552376024150956e-09,3.612921040145089e-09,2.1574487145709344e-10,-7.549934034514772e-11,2.9124421180224117e-10,3.555200782320461e-09,2.7346512928172217e-10,-159.52176873837675,-0.1595217687383767
5228.8,3.825892430939223e-09,1.9493190171270577e-08,-0.1621815066666657,-0.0603323733333322,,-6.03323733333322e-05,-60.332373333332185,2.8728260331490264e-10,1.7852642187771873e-12,2.8549733909612536e-10,3.55237987443601e-09,3.612916340907945e-09,2.1297609003127648e-10,-7.549660545854217e-11,2.8847269548981867e-10,3.555200782320461e-09,2.7069164861876154e-10,-156.770537868824,-0.156770537868824
5228.9000000000015,3.8285440972376016e-09,1.944544983977858e-08,-0.1607540666666554,-0.0590758666666576,,-5.9075866666657615e-05,-59.07586666665762,2.8993426961328205e-10,1.784155455074614e-12,2.8815011415820753e-10,3.552383687526772e-09,3.612911641995921e-09,2.1563245524168127e-10,-7.549387114865182e-11,2.911263263903332e-10,3.555200782320461e-09,2.7334331491714105e-10,-153.50557057038844,-0.1535055705703884
5229.0,3.834678903867418e-09,1.944732306077353e-08,-0.1612745064935044,-0.0581536623376616,,-5.8153662337661656e-05,-58.15366233766166,2.960690762430977e-10,1.7830476774549029e-12,2.942860285656428e-10,3.552387463338545e-09,3.6129069434092014e-09,2.2177196045821566e-10,-7.549113741831505e-11,2.972630978765306e-10,3.555200782320461e-09,2.7947812154695663e-10,-151.10927052956472,-0.1511092705295647
