t,ion_current_M2,ion_current_M32,ion_current_M44,E,current1_muA,j,current1_mA_geo
109.0,8.774556029411765e-09,4.0829674080882347e-08,5.703769000000002e-10,0.4619842476159257,-16.300705322875537,-42.35653596767367,-0.0423565359676736
109.1,8.786553088235296e-09,4.0814691213235286e-08,5.655744e-10,0.4567150583286687,-15.673755161819344,-40.727438543929125,-0.0407274385439291
109.2,8.798550147058823e-09,4.083399636029413e-08,5.648377455882351e-10,0.4513132736774913,-14.965496345890305,-38.88706480444309,-0.038887064804443
109.3,8.804750636029412e-09,4.085330150735295e-08,5.678541794117645e-10,0.4463478461753251,-14.290660091938484,-37.13353785596881,-0.0371335378559688
109.4,8.807245121323531e-09,4.085954735294117e-08,5.708706132352943e-10,0.4409488684772513,-13.720635300065403,-35.65235804680098,-0.0356523580468009
109.5,8.809739606617649e-09,4.086045911764706e-08,5.703664882352943e-10,0.4358393633971305,-13.307520482590707,-34.578900654709486,-0.0345789006547094
109.6,8.806056444852942e-09,4.086137088235294e-08,5.689822235294118e-10,0.4305843641786911,-13.014919865533264,-33.81859315174735,-0.0338185931517473
109.7,8.801609753676471e-09,4.0886708713235286e-08,5.67724594117647e-10,0.425404400155602,-12.793033988933749,-33.24203422826831,-0.0332420342282683
109.8,8.798320664206643e-09,4.091229327205882e-08,5.679232705882354e-10,0.4202151197320268,-12.614496947598724,-32.77811500127286,-0.0327781150012728
109.9,8.800683394833948e-09,4.092975897058823e-08,5.681219470588236e-10,0.4151282385246116,-12.461155442342974,-32.3796650658834,-0.0323796650658834
110.0,8.803046125461255e-09,4.092527367647058e-08,5.681613367647059e-10,0.410086366710071,-12.288866814789628,-31.931982017497543,-0.0319319820174975
110.1,8.801283125e-09,4.092078838235293e-08,5.6791755e-10,0.4049935443177402,-12.16280099679702,-31.6044065385025,-0.0316044065385025
110.2,8.794676875000001e-09,4.089854132352941e-08,5.67673763235294e-10,0.4000721053578747,-11.967036688473124,-31.09572315318472,-0.0310957231531847
110.3,8.788070625000002e-09,4.086176191176471e-08,5.679587350553504e-10,0.3950209222210005,-11.744495533797258,-30.517461523665663,-0.0305174615236656
110.4,8.78897918382353e-09,4.0824982500000006e-08,5.685411335793358e-10,0.3899343389490058,-11.637457959264449,-30.239329946792783,-0.0302393299467927
110.5,8.792528080882354e-09,4.0812990183823547e-08,5.691235321033211e-10,0.384823451605899,-11.548005243005507,-30.006891710619605,-0.0300068917106196
