t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,j,current1_mA_geo
118.9,4.588556153846144e-10,1.2993557348066297e-07,-0.0166817636363636,-0.2929666909090907,,-0.000292966690909,-292.96669090909074,3.4092073076923133e-10,1.5123306445332232e-11,3.25797424323899e-10,1.555127578070489e-10,2.9120456733233097e-10,1.6765104805228334e-10,-1.8239845127730008e-10,3.5004949932958355e-10,1.3849218681318672e-10,3.203634285714276e-10,4.8981017292817764e-08,4.9036905827543034e-08,-5.5888534725263625e-11,1.555127578070489e-10,1.31517488578932e-07,-1.5819150982690335e-09,-1.978011796828756e-09,3.960966985597223e-10,1.302308624309392e-07,-2.9528895027623433e-10,-761.2587268482814,-0.7612587268482814
119.0,4.4943198901098935e-10,1.300062989010989e-07,-0.0131767499999993,-0.2927451607142851,,-0.0002927451607142,-292.7451607142852,3.3149710439560634e-10,1.512297105679025e-11,3.16374133338816e-10,1.5549538290551194e-10,2.910957260882753e-10,1.5833626292271392e-10,-1.8227939753234366e-10,3.4061566045505766e-10,1.3849218681318672e-10,3.109398021978025e-10,4.9051742713253694e-08,4.9018256075184615e-08,3.3486638069079194e-11,1.5549538290551194e-10,1.3149689557171849e-07,-1.4905966706195823e-09,-1.9771595445790633e-09,4.865628739594806e-10,1.3022339945054948e-07,-2.1710054945055288e-10,-760.6830921454665,-0.7606830921454665
119.1,4.3822504861878485e-10,1.3016393626373626e-07,-0.0082788571428572,-0.2944272678571433,,-0.0002944272678571,-294.42726785714336,3.202901640034017e-10,1.5122621168901934e-11,3.051675428344997e-10,1.5547799261014902e-10,2.9098694997152907e-10,1.4723809864725562e-10,-1.8216038124013684e-10,3.2939847988739246e-10,1.3849218681318672e-10,2.9973286180559805e-10,4.920938007589103e-08,4.899960895491113e-08,2.0977112097987918e-10,1.5547799261014902e-10,1.314763102808869e-07,-1.3123740171506554e-09,-1.976307555196003e-09,6.63933538045347e-10,1.3020627692307688e-07,-4.234065934067389e-11,-765.0539601715246,-0.7650539601715246
119.2,4.2659980000000165e-10,1.29966882320442e-07,-0.0035413684210526,-0.2947725263157895,,-0.0002947725263157,-294.7725263157895,3.086649153846185e-10,1.512225679670534e-11,2.9354265858791316e-10,1.55460586905466e-10,2.9087823895462274e-10,1.3572156104537888e-10,-1.8204140243226806e-10,3.17762963477647e-10,1.3849218681318672e-10,2.8810761318681485e-10,4.901232613259678e-08,4.8980964472786265e-08,3.136165981051664e-11,1.55460586905466e-10,1.3145573270415905e-07,-1.4888503837170483e-09,-1.975455828840737e-09,4.866054451236885e-10,1.30199117679558e-07,-2.3223535911600656e-10,-765.9510963403054,-0.7659510963403054
119.3,4.1775441538461526e-10,1.2976854640883982e-07,0.002992,-0.2952294107142853,,-0.0002952294107142,-295.22941071428534,2.9981953076923225e-10,1.5121877955238543e-11,2.8469765281399367e-10,1.5544316577596926e-10,2.90769593010095e-10,1.2698482237452028e-10,-1.8192246114032607e-10,3.0890728351484635e-10,1.3849218681318672e-10,2.7926222857142856e-10,4.8813990220994615e-08,4.8962322634894606e-08,-1.4833241389999842e-10,1.5544316577596926e-10,1.3143516283925776e-07,-1.6666164304179599e-09,-1.974604365674429e-09,3.079879352564689e-10,1.3016393626373626e-07,-3.9538985489641015e-10,-767.1382867148716,-0.7671382867148716
119.4,4.0842935027624317e-10,1.2995572872928178e-07,0.0075775818181821,-0.2935833272727271,,-0.0002935833272727,-293.5833272727271,2.9049446566086006e-10,1.512148465953965e-11,2.7537298100132037e-10,1.5542572920616472e-10,2.906610121104903e-10,1.1776833816575291e-10,-1.8180355739589943e-10,2.9957189556165237e-10,1.3849218681318672e-10,2.6993716346305653e-10,4.9001172541436574e-08,4.894368344732392e-08,5.7489094112645075e-11,1.5542572920616472e-10,1.314146006839057e-07,-1.458871954623888e-09,-1.97375316585824e-09,5.148812112343523e-10,1.3016370331491714e-07,-2.079745856353332e-10,-762.8610244052273,-0.7628610244052273
119.5,3.9691907403315054e-10,1.3009168461538462e-07,0.0111561578947371,-0.2923475263157893,,-0.0002923475263157,-292.34752631578937,2.789841894177676e-10,1.5121076924646793e-11,2.6386311249312077e-10,1.5540827718055868e-10,2.9055249622836155e-10,1.0636657780478908e-10,-1.8168469123057643e-10,2.8805126903536557e-10,1.3849218681318672e-10,2.5842688721996395e-10,4.9137128427539403e-08,4.892504691614712e-08,2.1208151139228206e-10,1.5540827718055868e-10,1.313940462358263e-07,-1.3023616204416876e-09,-1.972902229553336e-09,6.705406091116476e-10,1.3016362417582417e-07,-7.193956043955401e-11,-759.6498598178913,-0.7596498598178913
119.6,3.878091370165748e-10,1.300959153846154e-07,0.0153966071428572,-0.2906915892857142,,-0.0002906915892857,-290.6915892857143,2.6987425240119166e-10,1.5120654765598142e-11,2.547535976355936e-10,1.5539080968365722e-10,2.9044404533626785e-10,9.736509168030691e-11,-1.8156586267594543e-10,2.789309543562524e-10,1.3849218681318672e-10,2.4931695020338813e-10,4.9141359196770176e-08,4.890641304744288e-08,2.3494614932730065e-10,1.5539080968365722e-10,1.313734994927435e-07,-1.2775841081281163e-09,-1.972051556920878e-09,6.944674487927623e-10,1.3015882817679558e-07,-6.291279218019578e-11,-755.3469934703752,-0.7553469934703751
119.7,3.827862640883977e-10,1.300442961325967e-07,0.0210256727272737,-0.287651672727272,,-0.0002876516727272,-287.65167272727206,2.6485137947301467e-10,1.5120218197431858e-11,2.4973116127558284e-10,1.5537332669996646e-10,2.903356594067758e-10,9.245060468162204e-11,-1.8144707176359444e-10,2.738976764452164e-10,1.3849218681318672e-10,2.442940772752112e-10,4.9089739944751463e-08,4.8887781847311046e-08,2.0195809744041758e-10,1.5537332669996646e-10,1.3135296045238146e-07,-1.3086643197847694e-09,-1.9712011481220336e-09,6.625368283372638e-10,1.301517087912088e-07,-1.0741265861211044e-10,-747.4479282154693,-0.7474479282154693
119.8,3.752292769230755e-10,1.299271138121547e-07,0.0250378947368429,-0.2848149649122809,,-0.0002848149649122,-284.8149649122809,2.5729439230769237e-10,1.5119767235186186e-11,2.4217462507250624e-10,1.5535582821399275e-10,2.902273384124593e-10,8.500193851061616e-11,-1.8132831852511142e-10,2.6633025703572757e-10,1.3849218681318672e-10,2.367370901098888e-10,4.89725576243095e-08,4.8869153321874953e-08,1.0340430243454392e-10,1.5535582821399275e-10,1.3133242911246498e-07,-1.405315300310247e-09,-1.9703510033179656e-09,5.650357030077187e-10,1.3015011538461538e-07,-2.2300157246067119e-10,-740.0768903238244,-0.7400768903238244
119.9,3.656811999999984e-10,1.2975360000000004e-07,0.0314991818181823,-0.2838827999999994,,-0.0002838827999999,-283.8827999999993,2.4774631538461533e-10,1.511930189389935e-11,2.3262701349071598e-10,1.553383142102421e-10,2.9011908232589877e-10,7.556211767409968e-11,-1.812096029920844e-10,2.5677172066618407e-10,1.3849218681318672e-10,2.2718901318681167e-10,4.879904381215481e-08,4.885052747727813e-08,-5.1483665123334286e-11,1.553383142102421e-10,1.3131190547071908e-07,-1.5583054707190663e-09,-1.9695011226698407e-09,4.1119565195077416e-10,1.3014868839779006e-07,-3.950883977900443e-10,-737.6547082247804,-0.7376547082247804
120.0,3.5802961602209884e-10,1.2954975384615388e-07,0.0364662321428572,-0.2809980714285715,,-0.0002809980714285,-280.99807142857145,2.400947314067159e-10,1.511882218860962e-11,2.2497590921810627e-10,1.5532078467322059e-10,2.900108911196824e-10,6.801872490241657e-11,-1.8109092519610126e-10,2.491096500985177e-10,1.3849218681318672e-10,2.1953742920891223e-10,4.859519765830861e-08,4.883190431967448e-08,-2.3670666136585605e-10,1.5532078467322059e-10,1.3129138952486962e-07,-1.7416356787157903e-09,-1.9686515063388243e-09,2.270158276230338e-10,1.301445585635359e-07,-5.948047173820776e-10,-730.15889089219,-0.73015889089219
120.1,3.5104436740331425e-10,1.2961910220994478e-07,0.0408965090909104,-0.276983709090908,,-0.0002769837090909,-276.983709090908,2.331094827879312e-10,1.5118328134355308e-11,2.1799115465357587e-10,1.553032395874345e-10,2.8990276476640524e-10,6.1141602636909e-11,-1.809722851687496e-10,2.421138878056586e-10,1.3849218681318672e-10,2.1255218059012755e-10,4.8664546022099546e-08,4.8813283855212674e-08,-1.4873783311312786e-10,1.553032395874345e-10,1.3127088127264265e-07,-1.651779062697894e-09,-1.967802154486084e-09,3.160230917881889e-10,1.301424653846154e-07,-5.233631746706383e-10,-719.7277789019685,-0.7197277789019685
120.2,3.450989718232045e-10,1.2974203701657458e-07,0.0447238928571433,-0.2732229642857141,,-0.0002732229642857,-273.2229642857141,2.2716408720782143e-10,1.511781974617474e-11,2.1204626746164663e-10,1.5528567893738983e-10,2.897947032386692e-10,5.530426858453541e-11,-1.8085368294161704e-10,2.361579515261525e-10,1.3849218681318672e-10,2.0660678501001783e-10,4.878748082872937e-08,4.8794666090017785e-08,-7.1852612884130385e-12,1.5528567893738983e-10,1.3125038071176445e-07,-1.5083436951898667e-09,-1.966953067272785e-09,4.586093720829179e-10,1.3013592099447517e-07,-3.9388397790056575e-10,-709.9556788945598,-0.7099556788945598
120.3,3.3890322747252736e-10,1.2974888784530388e-07,0.051069,-0.270665,,-0.000270665,-270.6650000000001,2.2096834285714427e-10,1.5117297039106268e-11,2.05851045818038e-10,1.55268102707593e-10,2.8968670650908366e-10,4.9216520963443645e-11,-1.8073511854629086e-10,2.2995163950973456e-10,1.3849218681318672e-10,2.004110406593407e-10,4.8794331657458665e-08,4.877605103019999e-08,1.8280627258672348e-11,1.55268102707593e-10,1.3122988783996234e-07,-1.4809999946584634e-09,-1.966104244860096e-09,4.851042502016324e-10,1.301345447513812e-07,-3.856569060773216e-10,-703.3089415831489,-0.7033089415831489
