t,ion_current_M2,ion_current_M32,ion_current_M44,E,current1_muA,j,current1_mA_geo
84.2,8.967001852941176e-09,4.0894731580882344e-08,5.662389665441174e-10,-0.0100385974462829,-0.1856793495920636,-0.482478143961878,-0.0004824781439618
84.30000000000003,8.968844419117647e-09,4.091545584558824e-08,5.648031209558823e-10,-0.0063199774294638,1.712007426013994,4.448562358533216,0.0044485623585332
84.4,8.967941110294116e-09,4.0903798198529424e-08,5.63367275367647e-10,-0.001173505143642,3.674064769632981,9.546866437989792,0.0095468664379897
84.5,8.967684698529409e-09,4.0887301875e-08,5.642826099264705e-10,0.003237715191189,5.652586531604147,14.687952453215871,0.0146879524532158
84.60000000000002,8.977563007352942e-09,4.0870184243542434e-08,5.652706613970586e-10,0.0076788739569718,7.635414580824035,19.8402281321482,0.0198402281321482
84.7,8.987441316176471e-09,4.084954586715867e-08,5.655981797794119e-10,0.0091715999652417,8.015644103160367,20.82823479319796,0.0208282347931979
84.80000000000003,8.999186124999999e-09,4.0828907490774914e-08,5.639440988970588e-10,0.0131139954675474,9.586277708094356,24.909444621956936,0.0249094446219569
84.9,9.01455413970588e-09,4.082004176470589e-08,5.622900180147059e-10,0.017027831820031,10.993775851512437,28.566755428775764,0.0285667554287757
85.0,9.02992215441176e-09,4.0826159411764704e-08,5.630275231617646e-10,0.0210162343331826,12.472765668960704,32.40983363660387,0.0324098336366038
85.10000000000002,9.043149801470588e-09,4.0832277058823537e-08,5.6588586875e-10,0.024878692161641,13.808158193160564,35.879781737736465,0.0358797817377364
85.2,9.055065610294116e-09,4.0827555e-08,5.68744214338235e-10,0.0288686635680312,14.985945643594189,38.94020124219544,0.0389402012421954
85.30000000000003,9.066981419117648e-09,4.08186175e-08,5.689130621323531e-10,0.0328821874847487,16.11295958193209,41.86868841313325,0.0418686884131332
85.4,9.045474801470588e-09,4.0809680000000003e-08,5.684510400735291e-10,0.0370613146489066,17.04478212553822,44.289980884959846,0.0442899808849598
85.5,9.020254580882356e-09,4.084055867647058e-08,5.680095591911765e-10,0.0415345135882616,17.616620241465572,45.77587252248139,0.0457758725224813
85.60000000000002,8.997412610294117e-09,4.087143735294119e-08,5.677757724264707e-10,0.0462602797060995,17.54353767402676,45.58597126759594,0.0455859712675959
